City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,luderitz,-26.6481,15.1594,57.34,34,0,13.96,NA,1630188110
233,eidsvag,62.7767,8.0668,55.45,86,0,0.92,NO,1630188110
234,ituporanga,-27.4144,-49.6025,57.52,95,100,1.95,BR,1630188111
235,mizan teferi,6.9833,35.5833,62.96,89,100,2.19,ET,1630188111
236,kouqian,43.6391,126.4578,59.81,96,62,5.3,CN,1630188111
237,altamirano,16.8833,-92.15,63.99,89,84,2.51,MX,1630188112
238,whitehorse,60.7161,-135.0538,50.02,94,100,2.13,CA,1630188112
239,urusha,54.05,122.9,39.11,77,49,3.85,RU,1630188113
240,nurota,40.5614,65.6886,71.69,20,0,3.31,UZ,1630188113
241,paris,48.8534,2.3488,64.15,77,0,1.99,FR,1630187862
242,leningradskiy,69.3833,178.4167,34.38,73,51,1.9,RU,1630188113
243,noumea,-22.2763,166.4572,71.58,74,1,2.66,NC,1630188005
244,nelson bay,-32.7167,152.15,53.69,79,0,5.79,AU,1630188114
245,rehoboth,-23.3167,17.0833,36.84,25,0,7.65,NA,1630188114
246,weligama,5.9667,80.4167,78.06,89,96,14.88,LK,1630188115
247,buritizeiro,-17.3511,-44.9622,75.42,48,95,7.34,BR,1630188115
248,luwuk,-0.9516,122.7875,75.24,90,83,3.56,ID,1630188116
249,diu,20.7141,70.9822,78.19,78,66,6.24,IN,1630188010
250,kalabo,-14.97,22.6814,73.51,23,0,13.2,ZM,1630188116
251,vestmanna,62.1564,-7.1664,50.92,100,90,2.3,FO,1630188116
252,honningsvag,70.9821,25.9704,46.22,71,98,10.76,NO,1630188117
253,cairo,30.0626,31.2497,84.96,74,0,10.36,EG,1630187927
254,batemans bay,-35.7167,150.1833,50.92,79,68,2.28,AU,1630188117
255,east london,-33.0153,27.9116,51.94,69,51,13.96,ZA,1630188118
256,sola,-13.8833,167.55,78.75,63,32,18.84,VU,1630188118
257,ust-kut,56.7938,105.7672,51.94,73,25,2.8,RU,1630188118
258,paramonga,-10.6667,-77.8333,65.28,77,37,9.84,PE,1630188119
259,rawson,-43.3002,-65.1023,55.89,41,78,9.46,AR,1630188119
260,san carlos,9.6612,-68.5827,78.87,88,92,0.4,VE,1630188119
261,bar harbor,44.3876,-68.2039,67.23,66,1,4.0,US,1630188120
262,atar,20.5169,-13.0499,93.7,33,66,4.38,MR,1630188120
263,shenjiamen,29.9576,122.298,80.91,87,2,15.68,CN,1630188101
264,victoria,22.2855,114.1577,84.18,78,96,14.09,HK,1630187880
265,chokurdakh,70.6333,147.9167,35.65,96,100,6.98,RU,1630188121
266,mackay,-21.15,149.2,71.04,84,29,3.11,AU,1630188121
267,igrim,63.1906,64.4162,45.64,91,99,7.56,RU,1630188121
268,vardo,70.3705,31.1107,45.68,75,100,15.03,NO,1630188122
269,norman wells,65.282,-126.8329,60.44,72,74,9.4,CA,1630188123
270,kragero,58.8693,9.4149,65.57,67,99,6.17,NO,1630188123
271,sala,34.0389,-6.8166,72.64,94,20,3.44,MA,1630188124
272,ketchikan,55.3422,-131.6461,57.81,83,83,11.39,US,1630188038
273,compostela,7.6731,126.0889,74.05,94,57,1.48,PH,1630188124
274,grindavik,63.8424,-22.4338,52.27,82,90,20.71,IS,1630188124
275,la ronge,55.1001,-105.2842,59.95,79,100,3.22,CA,1630188125
276,ladario,-19.0047,-57.6017,82.11,43,100,6.22,BR,1630188125
277,kaeo,-35.1,173.7833,60.33,92,58,8.61,NZ,1630188126
278,challans,46.8436,-1.8749,64.6,66,0,11.27,FR,1630188126
279,krasnoselkup,65.7,82.4667,42.51,86,100,11.43,RU,1630188127
280,kudahuvadhoo,2.6708,72.8944,82.98,72,100,17.58,MV,1630188127
281,bam,29.106,58.357,78.48,18,0,10.31,IR,1630188127
282,port keats,-14.25,129.55,69.51,76,18,2.95,AU,1630188128
283,gualeguay,-33.1416,-59.3097,56.88,61,24,6.11,AR,1630188128
284,olafsvik,64.8945,-23.7142,51.57,87,100,27.11,IS,1630188128
285,inirida,3.8653,-67.9239,77.14,93,80,4.25,CO,1630188129
286,baturaja,-4.1333,104.1667,73.06,98,100,2.1,ID,1630188129
287,hovd,48.0056,91.6419,56.68,55,32,7.11,MN,1630188129
288,nabire,-3.3667,135.4833,75.6,90,98,3.11,ID,1630188130
289,cap malheureux,-19.9842,57.6142,71.47,87,100,7.0,MU,1630188021
290,nome,64.5011,-165.4064,49.15,93,90,16.11,US,1630188123
291,bull savanna,17.8868,-77.5902,81.19,75,7,13.29,JM,1630188130
292,cumra,37.5732,32.7745,68.14,31,0,8.3,TR,1630188131
293,skala,50.2305,19.8536,55.8,89,0,2.3,PL,1630188131
294,gunnedah,-30.9833,150.25,43.72,65,1,3.0,AU,1630188131
295,esperance,-33.8667,121.9,53.74,75,100,13.82,AU,1630188132
296,yambio,4.5721,28.3955,67.86,91,32,2.08,SS,1630188132
297,comodoro rivadavia,-45.8667,-67.5,53.11,50,63,17.65,AR,1630188132
298,rafai,4.95,23.9167,69.58,96,64,2.17,CF,1630188133
299,port hedland,-20.3167,118.5667,62.65,82,90,2.3,AU,1630188133
300,belmonte,-15.8631,-38.8828,73.9,85,6,7.38,BR,1630188134
301,mehran,33.1222,46.1646,97.2,10,0,7.11,IR,1630188134
302,tezu,27.9167,96.1667,72.79,94,100,2.19,IN,1630188135
303,henties bay,-22.116,14.2845,54.84,72,0,6.08,NA,1630188135
304,predivinsk,57.0669,93.4378,56.34,77,66,3.44,RU,1630188135
305,yamethin,20.4333,96.15,74.07,93,94,3.94,MM,1630188136
306,riyadh,24.6877,46.7219,90.23,10,26,9.06,SA,1630188037
307,marck,50.949,1.9433,62.55,84,4,17.36,FR,1630188136
308,inhambane,-23.865,35.3833,70.34,89,28,15.43,MZ,1630188137
309,shingu,33.7333,135.9833,77.92,77,0,3.47,JP,1630188137
310,penzance,50.1186,-5.5371,60.01,84,0,8.05,GB,1630188137
311,vanimo,-2.6741,141.3028,78.85,87,66,6.49,PG,1630188138
312,cabo san lucas,22.8909,-109.9124,97.52,71,43,8.21,MX,1630188138
313,ranfurly,-45.1333,170.1,41.65,97,97,1.5,NZ,1630188091
314,nefteyugansk,61.0998,72.6035,44.85,75,58,7.96,RU,1630188139
315,hohhot,40.8106,111.6522,58.03,68,25,4.99,CN,1630188139
